ean,producto,marca,super,precio,url,n_supers,mas_barato,es_mas_barato,ahorro_clp,ahorro_pct
7809569600293,Chorizo parrillero Pacel 500 g,Pacel,SantaIsabel,7190,https://santaisabel.myvtex.com/chorizo-pacel-500g-1729279/p,2,Unimarc,0,500,7.0
4000607852008,Chocolate Amargo Schogetten 100 g,Schogetten,SantaIsabel,3190,https://santaisabel.myvtex.com/chocolate-schogetten-100-g/p,2,Jumbo,0,600,18.8
4000607852008,Chocolate Amargo Schogetten 100 g,Schogetten,Jumbo,2590,https://jumbo.myvtex.com/chocolate-schogetten-100-g/p,2,Jumbo,1,600,18.8
9006900205652,Jugo Pfanner Bio 100% Naranja 1 L,Pfanner,Jumbo,4490,https://jumbo.myvtex.com/jugo-pfanner-bio-100-naranja-1lt-1880158/p,1,,0,0,0
7802110000917,Cóctel Capel piña colada 12° botella 700 cc,Capel,Unimarc,3773,https://unimarc.myvtex.com/pina-colada-prem-capel-700cc-bot/p,4,Unimarc,1,1577,29.5
7802110000917,Cóctel Capel piña colada 12° botella 700 cc,Capel,SantaIsabel,5350,https://santaisabel.myvtex.com/coctel-pila-colada-12-700-cc-918551/p,4,Unimarc,0,1577,29.5
7802110000917,Cóctel Capel piña colada 12° botella 700 cc,Capel,Jumbo,5190,https://jumbo.myvtex.com/pina-colada-capel-botella-700-cc-2/p,4,Unimarc,0,1577,29.5
7802110000917,Cóctel Capel piña colada 12° botella 700 cc,Capel,Alvi,3990,https://alvicl.myvtex.com/coctel-pina-colada-12-botella/p,4,Unimarc,0,1577,29.5
24866217,Jamón de Pavo Ahumado Sopraval Granel,Sopraval,SantaIsabel,14360,https://santaisabel.myvtex.com/jamon-de-pavo-ahumado-sopraval-granel/p,1,,0,0,0
7790580412845,"Caluga de Leche Butter Toffees Bolsa, 130g",Arcor,Cugat,1790,https://cugat.cl/producto/caluga-de-leche-butter-toffee-bolsa-130g/,3,SantaIsabel,0,540,30.2
7790580412845,"Caluga de Leche Butter Toffees Bolsa, 130g",Arcor,Unimarc,1390,https://unimarc.myvtex.com/caramelo-butter-toffe-arcor-130-g-leche/p,3,SantaIsabel,0,540,30.2
7790580412845,"Caluga de Leche Butter Toffees Bolsa, 130g",Arcor,SantaIsabel,1250,https://santaisabel.myvtex.com/caramelos-butter-leche-130-g-268269/p,3,SantaIsabel,1,540,30.2
7801223114009,Paté Pavo Al Cognac 100 g,Castillo,SantaIsabel,2990,https://santaisabel.myvtex.com/pate-pavo-al-cognac-100-g-916601/p,1,,0,0,0
7804097002724,Ensalada coleslaw Genial 300Gr,Genial,Unimarc,1990,https://unimarc.myvtex.com/ensalada-coleslaw-genial-300-gr/p,1,,0,0,0
24960366,Nectarín Plátano Granel,Frutas y Verduras Propias,SantaIsabel,2990,https://santaisabel.myvtex.com/nectarin-platano-granel/p,1,,0,0,0
24990875,Filete Al Vacío kg,Carnicería propia,Jumbo,18990,https://jumbo.myvtex.com/filete-cat-v/p,1,,0,0,0
7802920002514,Yoghurt Sabor Mora Los Alerces 1 Kg,,Cugat,1699,https://cugat.cl/producto/yoghurt-sabor-mora-los-alerces-1-kg/,1,,0,0,0
7801930001883,Lasaña espinaca champiñón PF Listo refrigerado 350 g,Pf Listo,Unimarc,4550,https://unimarc.myvtex.com/lasana-espinaca-champ-ref-pflisto-350-gr/p,1,,0,0,0
7801970004783,Salchichas vienesas Llanquihue 10 un 500 g,Llanquihue,Unimarc,6120,https://unimarc.myvtex.com/salchichas-vienesas-llanquihue-10-u-500-g/p,3,SantaIsabel,0,1460,21.3
7801970004783,Salchichas vienesas Llanquihue 10 un 500 g,Llanquihue,SantaIsabel,5390,https://santaisabel.myvtex.com/salchicha-tradicional-llanquihue-500-g/p,3,SantaIsabel,1,1460,21.3
7801970004783,Salchichas vienesas Llanquihue 10 un 500 g,Llanquihue,Jumbo,6850,https://jumbo.myvtex.com/salchicha-tradicional-llanquihue-500-g/p,3,SantaIsabel,0,1460,21.3
42247371,Chicles Orbit Sin Azúcar Sabor Fruta y Menta 10 un.,Orbit,Jumbo,1090,https://jumbo.myvtex.com/chicle-wri-orbit-s-azu-bubblemint-14gr/p,1,,0,0,0
7802900004569,Pack 12 un. Bebida Láctea Uno Multifrut 80 ml,Soprole,SantaIsabel,4330,https://santaisabel.myvtex.com/pack-beb-lact-uno-sp-te-multifru-12x80ml-2044561/p,1,,0,0,0
7801235002882,Lomos de Jurel Oliva Fisherman 104 g drenado,Fisherman,Jumbo,1820,https://jumbo.myvtex.com/lomos-de-jurel-oliva-fisherman-104-gr-dr-1939062/p,1,,0,0,0
7807910045670,Pasta Untable Queso Salame Cuisine & Co 240 g,Cuisine & Co,Jumbo,3990,https://jumbo.myvtex.com/pasta-unt-queso-salame-cuisine-and-co-240g-1975640/p,1,,0,0,0
78087444700803,Ají verde bandeja 200 g,El Chanar,Unimarc,1890,https://unimarc.myvtex.com/aji-verde-bandeja-125-g/p,1,,0,0,0
7790895644023,Pack 6 un. Alimento de Soya Manzana 200 ml,Ades,SantaIsabel,2480,https://santaisabel.myvtex.com/pack-alimento-de-soya-ades-manzana-6-unid-200-ml-c-u/p,2,SantaIsabel,1,10,0.4
7790895644023,Pack 6 un. Alimento de Soya Manzana 200 ml,Ades,Jumbo,2490,https://jumbo.myvtex.com/pack-alimento-de-soya-ades-manzana-6-unid-200-ml-c-u/p,2,SantaIsabel,0,10,0.4
7802810011916,Pack 6 un. Jugo Watt's Naranja Manzana 200 ml,Watt's,SantaIsabel,4080,https://santaisabel.myvtex.com/jugo-100-naranja-manzana-200-ml-2018092-pak/p,2,Jumbo,0,190,4.7
